     dprof      0.00000000000E+0000     -0.11206776477E-0001     -0.41751477634E-0002      0.12305172098E-0001      0.28912788756E-0001      0.42000797392E-0001      0.50459601429E-0001      0.55107549947E-0001      0.57654898632E-0001      0.58940868976E-0001      0.59486671480E-0001      0.59823876637E-0001      0.60144367403E-0001      0.60502131587E-0001      0.60918969187E-0001      0.61403548349E-0001      0.61957591525E-0001      0.62578962018E-0001      0.63263843769E-0001      0.64007980179E-0001      0.64813282878E-0001      0.65688885889E-0001      0.66770033254E-0001      0.68186091664E-0001      0.70297393626E-0001      0.73671594775E-0001      0.78544723866E-0001      0.84959463476E-0001      0.92957888805E-0001      0.10262489023E+0000      0.11410094233E+0000      0.12759395751E+0000      0.14340540598E+0000      0.16196905505E+0000      0.18388466246E+0000      0.21027087939E+0000      0.24245308130E+0000      0.28132469932E+0000      0.31937730224E+0000      0.35397855657E+0000      0.40195249618E+0000
      shif      0.67744941394E+0000      0.68224979499E+0000      0.68786676628E+0000      0.68902709227E+0000      0.68397394065E+0000      0.67279326502E+0000      0.65619933479E+0000      0.63601896526E+0000      0.61483769513E+0000      0.59342325107E+0000      0.57197600237E+0000      0.55107469256E+0000      0.53083331048E+0000      0.51126416488E+0000      0.49236508873E+0000      0.47412121522E+0000      0.45651879917E+0000      0.43953420637E+0000      0.42313036140E+0000      0.40727603870E+0000      0.39196572881E+0000      0.37718601335E+0000      0.36335587826E+0000      0.34958253402E+0000      0.33410420311E+0000      0.31795700419E+0000      0.30180324675E+0000      0.28479849544E+0000      0.26694087913E+0000      0.24826468630E+0000      0.22879974673E+0000      0.20857651069E+0000      0.18762284970E+0000      0.16598056335E+0000      0.14369850088E+0000      0.12070673174E+0000      0.97142908977E-0001      0.73055938607E-0001      0.49293468364E-0001      0.25581885548E-0001      0.00000000000E+0000
        g2      0.13009220130E-0001      0.13721369200E+0002      0.54218907842E+0002      0.12116616064E+0003      0.21504239151E+0003      0.33537861820E+0003      0.48113288928E+0003      0.64533477806E+0003      0.82695089938E+0003      0.10320531723E+0004      0.12556794462E+0004      0.15004488683E+0004      0.17672178914E+0004      0.20561557616E+0004      0.23675341234E+0004      0.27015862766E+0004      0.30584830854E+0004      0.34386254059E+0004      0.38422006367E+0004      0.42693976028E+0004      0.47203562484E+0004      0.51959392060E+0004      0.56966022624E+0004      0.62357750308E+0004      0.68244878085E+0004      0.74463206389E+0004      0.81324887056E+0004      0.88793421163E+0004      0.96940134901E+0004      0.10586873680E+0005      0.11570897776E+0005      0.12663365848E+0005      0.13887953722E+0005      0.15277747790E+0005      0.16877078630E+0005      0.18805404574E+0005      0.21094856383E+0005      0.23818990339E+0005      0.25143449306E+0005      0.27568919369E+0005      0.33041391967E+0005
        g3      0.10673089820E-0001      0.10655963139E-0001      0.10645122863E-0001      0.10663760151E-0001      0.10714222491E-0001      0.10790829998E-0001      0.10889980491E-0001      0.10983545566E-0001      0.11066330810E-0001      0.11155243339E-0001      0.11235591123E-0001      0.11312611195E-0001      0.11387921178E-0001      0.11461539227E-0001      0.11533743159E-0001      0.11604698573E-0001      0.11674285236E-0001      0.11743241299E-0001      0.11811692956E-0001      0.11879643785E-0001      0.11946105531E-0001      0.12012779718E-0001      0.12053228742E-0001      0.12175619622E-0001      0.12336899926E-0001      0.12419029749E-0001      0.12562136264E-0001      0.12719152334E-0001      0.12888189953E-0001      0.13071337373E-0001      0.13270017071E-0001      0.13487102715E-0001      0.13725858795E-0001      0.13989765905E-0001      0.14285869047E-0001      0.14641450680E-0001      0.15024849681E-0001      0.15488652180E-0001      0.15737129871E-0001      0.16263864494E-0001      0.17307028962E-0001
   volprof      0.49152318245E-0001      0.15851623022E+0001      0.61599353555E+0001      0.13747133778E+0002      0.24268480641E+0002      0.37517380199E+0002      0.53223696564E+0002      0.71231855686E+0002      0.91624201397E+0002      0.11447932226E+0003      0.13980800398E+0003      0.16765779538E+0003      0.19804013909E+0003      0.23095553468E+0003      0.26640367222E+0003      0.30438327183E+0003      0.34489340512E+0003      0.38793162774E+0003      0.43349260707E+0003      0.48157128131E+0003      0.53216751129E+0003      0.58528610922E+0003      0.64103881654E+0003      0.69947583858E+0003      0.76071739218E+0003      0.82539392011E+0003      0.89396934189E+0003      0.96656878588E+0003      0.10434453952E+0004      0.11249070031E+0004      0.12113275923E+0004      0.13031660345E+0004      0.14009980274E+0004      0.15055814189E+0004      0.16178956112E+0004      0.17394242752E+0004      0.18722953138E+0004      0.20183486506E+0004      0.21699842048E+0004      0.23222968711E+0004      0.24909365217E+0004
    vprime      0.13092154132E+0001      0.42222198109E+0002      0.83878372836E+0002      0.12510366265E+0003      0.16426391227E+0003      0.19995604564E+0003      0.23193952757E+0003      0.26410007840E+0003      0.29817313643E+0003      0.33184001732E+0003      0.36640941721E+0003      0.40125111767E+0003      0.43611120581E+0003      0.47098182254E+0003      0.50584313658E+0003      0.54068690628E+0003      0.57553119518E+0003      0.61030682329E+0003      0.64500921522E+0003      0.67965044884E+0003      0.71436105538E+0003      0.74913425490E+0003      0.78712451797E+0003      0.82290003354E+0003      0.86472733715E+0003      0.91811941219E+0003      0.97199261740E+0003      0.10289978851E+0004      0.10898765612E+0004      0.11553888176E+0004      0.12266080334E+0004      0.13048026707E+0004      0.13919510975E+0004      0.14911366599E+0004      0.16053605636E+0004      0.17458992356E+0004      0.19189462318E+0004      0.21093110176E+0004      0.20608898955E+0004      0.21345300494E+0004      0.25378578570E+0004
      ipol      0.50299256055E+0002      0.50200715518E+0002      0.50135035467E+0002      0.50202382044E+0002      0.50388812289E+0002      0.50682127499E+0002      0.51057624576E+0002      0.51434981020E+0002      0.51731116024E+0002      0.51960177675E+0002      0.52156488186E+0002      0.52322485126E+0002      0.52459458084E+0002      0.52568264533E+0002      0.52650155691E+0002      0.52706308739E+0002      0.52737447646E+0002      0.52744487195E+0002      0.52728597463E+0002      0.52690459574E+0002      0.52630324095E+0002      0.52549631016E+0002      0.52450045034E+0002      0.52379259709E+0002      0.52382172958E+0002      0.52420835381E+0002      0.52457817963E+0002      0.52490011402E+0002      0.52517748418E+0002      0.52541429369E+0002      0.52561628976E+0002      0.52578977309E+0002      0.52594021753E+0002      0.52607008063E+0002      0.52618167496E+0002      0.52627772415E+0002      0.52633978625E+0002      0.52636316914E+0002      0.52638672928E+0002      0.52656715770E+0002      0.52706710000E+0002
     qprof      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000000E+0001      0.10000000007E+0001      0.10000000475E+0001      0.10000030650E+0001      0.10001976456E+0001      0.10127450776E+0001      0.11021500575E+0001      0.11904208729E+0001      0.12933677321E+0001      0.14069825792E+0001      0.15325868022E+0001      0.16724325375E+0001      0.18292138702E+0001      0.20065961135E+0001      0.22096810767E+0001      0.24455876364E+0001      0.27242185900E+0001      0.30718481330E+0001      0.34915381411E+0001      0.39738658436E+0001      0.40925323257E+0001      0.42897997782E+0001      0.54474089580E+0001
      jpar      0.47864296710E+0007      0.46431666214E+0007      0.44891037309E+0007      0.43546232740E+0007      0.40938639198E+0007      0.37563485197E+0007      0.33552579670E+0007      0.27968745406E+0007      0.22584814099E+0007      0.18450898640E+0007      0.14921668742E+0007      0.12005983996E+0007      0.96681577049E+0006      0.78417723967E+0006      0.64464282950E+0006      0.53876789681E+0006      0.45830989527E+0006      0.39809186323E+0006      0.35179241895E+0006      0.31436029000E+0006      0.28329751556E+0006      0.25657851321E+0006      0.23278979248E+0006      0.21229967520E+0006      0.19991060205E+0006      0.18598498690E+0006      0.17457964190E+0006      0.16269587197E+0006      0.15036832721E+0006      0.13876218924E+0006      0.12798542649E+0006      0.11823232450E+0006      0.10888905849E+0006      0.99567741353E+0005      0.91626006094E+0005      0.84771177446E+0005      0.77732150148E+0005      0.11835451456E+0006      0.25585293548E+0006      0.50409361024E+0006      0.40894673526E+0004
       jbs      0.00000000000E+0000      0.00000000000E+0000      0.71535444310E+0005      0.26331807398E+0006      0.40972894240E+0006      0.53213445434E+0006      0.61360750834E+0006      0.52987913044E+0006      0.42080789627E+0006      0.38725706839E+0006      0.35706571028E+0006      0.32977719036E+0006      0.30518459841E+0006      0.28315687606E+0006      0.26379408485E+0006      0.24608744641E+0006      0.22944091407E+0006      0.21522608987E+0006      0.20245299024E+0006      0.18990887520E+0006      0.17786967713E+0006      0.16618645727E+0006      0.15479886040E+0006      0.14483175384E+0006      0.14117751711E+0006      0.13453284149E+0006      0.12941465391E+0006      0.12303407385E+0006      0.11550270063E+0006      0.10807381663E+0006      0.10094387721E+0006      0.94368238463E+0005      0.87815701117E+0005      0.80898059508E+0005      0.75001552360E+0005      0.69906028390E+0005      0.64355485709E+0005      0.10621864428E+0006      0.24627006750E+0006      0.49923965064E+0006      0.39779157343E+0004
